TrainNo,TrainName,TrainFrom,TrainTo
13005,Howrah Amritsar Mail,Punjab,West Bengal
12602,Mangalore Chennai Mail,Karnataka,Tamil Nadu
19167,Sabarmati Express,Uttar Pradesh,Gujarat
12392,Shramjeevi Express,Delhi,Bihar
15037,Kanpur Kasganj Express,Uttar Pradesh,Uttar Pradesh
12904,Golden Temple Mail Express,Punjab,Mumbai
9005,Mumbai Central Holiday Special,Mumbai,Delhi
17201,Golkonda Express,Andhra Pradesh,Andhra Pradesh
12392,Shramjeevi Express,Delhi,Bihar
13071,Howrah Jamalpur Super Fast Express,West Bengal,Bihar
14001,Delhi Lahore Samjhauta Express,Delhi,Lahore
12738,Gowthami Express,Secunderabad,Kakinada
12102,Jnaneswari express ,West Bengal,Maharashtra
22532,Mathura Chappra Express,Mathura,Chappra
16591,Humpi Express,Hubli,Bangalore
16593,Bengaluru Hazur Sahib Nanded Express,Bangalore ,Nanded
12841,Coromandel Express,Shalimar,Chennai
13174,Kanchanjunga Express,Guwahati,Sealdah
